,DNR_ID_Site_Number,Year,Mean(log_phosphorus),Std Dev(log_phosphorus),Mean(Secchi_Depth_RESULT),Std Dev(Secchi_Depth_RESULT),rec_1,rec_2,rec_3,rec_4,rec_5,seasonal_1,seasonal_2,seasonal_3,seasonal_4,seasonal_5,physical_1,physical_2,physical_3,physical_4,physical_5,LAKE_NAME,MAJOR_WATERSHED,longitude,latitude,num.rec.readings,num.physical.readings,rec.avg,physical.avg,seasonal.grade,LakeSite,Number Properties,Mean(ACRES_POLY),Std Dev(ACRES_POLY),N(Ag Preserve - Yes),N(Basement - Yes),Median(EMV_TOTAL),Interquartile Range(EMV_TOTAL),Median(FIN_SQ_FT),Interquartile Range(FIN_SQ_FT),N(Green ACRE - Yes),N(Homestead - Partial),N(Homestead - Yes),N(Single Unit),N(Multiple Unit),Median(SALE_VALUE),Interquartile Range(SALE_VALUE),Median(TOTAL_TAX),Interquartile Range(TOTAL_TAX),N(Sales that year),N(Built that year)
844,27067500-01,2005,-2.656883421,0.524993605,1.089,0.222333583,0,2,0,3,3,0,0,1,0,0,0,7,2,0,1,Pamela Pond,Mississippi River - Twin Cities,-93.33238313,44.89246835,8,10,3.875,2.5,C,Pamela Pond-1,512,,,0,0,283850,98175.0,0.0,0.0,0,0,432,0,0,163500.0,132350.0,2958.0,1160.0,14,0
1640,82015300-01,2013,-4.47675003,0.200876915,2.671428571,0.305310147,1,0,0,0,0,0,0,0,0,1,1,6,0,0,0,Sunset Lake,Mississippi River - Twin Cities,-92.94157024,45.13527125,1,7,1.0,1.857142857,A,Sunset Lake-1,212,2.8314150939999996,4.42194794,0,0,261850,238300.0,1393.0,1858.0,2,0,190,154,0,260000.0,193175.0,,,0,0
801,27017901-01,2010,-4.389572605,0.361136024,4.046153846,0.825242777,13,0,0,0,0,0,0,0,0,1,9,4,0,0,0,Little Long Lake,South Fork Crow River,-93.7082121,44.94773927,13,13,1.0,1.307692308,A,Little Long Lake-1,21,15.16857143,8.380852752000001,0,0,100000,395000.0,0.0,1544.5,0,0,4,0,0,168000.0,43908.0,4042.0,1640.5,0,0
1567,82013200-01,2006,-2.644858343,0.309432307,1.349714286,0.5312672629999999,0,0,2,5,0,0,0,1,0,0,0,0,5,2,0,Woodpile Lake,Lower St. Croix River,-92.90332792,45.06868739,7,7,3.714285714,3.285714286,C,Woodpile Lake-1,35,8.613125,8.835652565,0,0,425000,296900.0,1337.0,1887.0,3,0,30,0,0,22000.0,34478.0,3764.0,2725.5,0,0
618,27000400-01,2013,-2.289895712,0.569841604,0.715384615,0.489636181,0,0,0,12,1,0,1,0,0,0,4,2,4,3,0,Penn Lake,Lower Minnesota River,-93.30604716,44.84744866,13,13,4.076923077,2.461538462,D,Penn Lake-1,730,0.46689560399999996,2.149092251,0,0,184800,37750.0,0.0,0.0,0,0,630,0,0,152638.5,121400.0,2626.5,636.5,34,0
132,10001100-01,2005,-4.071696632,0.16449165,3.1025,0.9538156459999999,4,1,1,1,0,0,0,0,0,1,0,2,2,3,0,St. Joe Lake,Mississippi River - Twin Cities,-93.62296909,44.87564570000001,7,7,1.857142857,3.142857143,A,St. Joe Lake-1,310,0.844387097,1.743430975,0,0,338500,307100.0,1814.5,1876.0,0,0,244,0,0,335000.0,273337.25,4052.0,4184.0,22,10
1524,82012000-01,2012,-2.436211461,0.562962456,1.0425,0.421477334,0,1,5,8,0,0,1,0,0,0,1,4,9,0,0,Benz Lake,Lower St. Croix River,-92.89111722,45.11128554,14,14,3.5,2.5714285709999998,D,Benz Lake-1,48,9.019166667,4.61517102,0,0,362750,221725.0,1798.0,1147.5,0,0,42,36,2,207000.0,255000.0,,,0,0
89,10000200-02,2009,-2.137070655,,1.7,,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,Riley Lake,Lower Minnesota River,-93.52393956,44.83937512,1,1,2.0,2.0,F,Riley Lake-2,311,0.7006752409999999,3.0481220860000002,0,0,370900,319300.0,1603.0,1937.0,0,0,110,0,0,298988.0,366975.0,4603.0,4189.0,12,0
1057,82001100-01,2014,-1.82607915,0.393830639,0.875,0.23653752399999997,0,0,1,5,0,1,0,0,0,0,0,1,5,0,0,Bay Pond,Lower St. Croix River,-92.83273741,44.99498587,6,6,3.833333333,2.833333333,F,Bay Pond-1,128,2.54734375,4.855013884,0,0,150000,149600.0,0.0,1619.0,0,0,68,58,0,278950.0,500744.5,,,0,0
50,02007900-01,2006,-1.2898728529999999,0.438066136,0.271428571,0.10509022800000001,0,3,0,10,0,1,0,0,0,0,0,0,6,8,0,Highland Lake,Mississippi River - Twin Cities,-93.23309565,45.05890169,13,14,3.5384615389999996,3.571428571,F,Highland Lake-1,714,0.303305322,0.570988414,0,0,237500,88525.0,1323.0,497.0,0,0,680,0,0,208250.0,92575.0,2589.0,1218.75,22,0
1113,82002000-01,2011,-2.831154885,0.46258871,2.394285714,0.8081480659999999,0,7,1,6,0,0,0,1,0,0,0,8,6,0,0,McKusick Lake,Lower St. Croix River,-92.8257844,45.060821000000004,14,14,2.928571429,2.4285714290000002,C,McKusick Lake-1,1039,0.560346487,2.8440898860000003,0,0,194700,84500.0,1262.0,561.0,0,0,856,866,2,174342.0,130000.0,,,28,0
1127,82002500-01,2004,,,2.177,0.685497873,0,4,1,0,0,0,0,0,0,0,0,1,3,2,0,Louise Lake,Lower St. Croix River,-92.84729796,45.12194563,5,6,2.2,3.166666667,F,Louise Lake-1,29,15.275,19.7688897,0,0,334500,520700.0,0.0,0.0,2,0,29,0,0,172450.0,34900.0,2250.0,1786.0,0,0
1114,82002000-01,2012,-2.936085401,0.290345009,2.530818182,0.636824437,1,4,8,1,0,0,0,0,1,0,1,8,4,1,0,McKusick Lake,Lower St. Croix River,-92.8257844,45.060821000000004,14,14,2.642857143,2.357142857,B,McKusick Lake-1,1037,0.561022179,2.8441068780000003,0,0,173400,86450.0,1262.0,561.0,0,0,866,866,2,179900.0,126750.0,,,40,0
1613,82014000-01,2014,-4.183200351,0.205582323,,,3,1,0,0,0,0,0,0,0,0,0,2,2,0,0,Oneka Lake,Mississippi River - Twin Cities,-92.96876765,45.17923514,4,4,1.25,2.5,F,Oneka Lake-1,106,6.043773585,8.725142919,0,0,295300,103400.0,1360.0,1175.5,8,0,84,80,0,247700.0,103206.0,,,0,0
978,70007800-01,2014,-3.7110885689999997,0.282175277,1.3,0.6782329979999999,1,1,0,0,2,0,0,0,0,0,1,3,0,0,0,Haas Lake,Lower Minnesota River,-93.45845139,44.74483813,4,4,3.25,1.75,F,Haas Lake-1,222,1.402972973,4.606067137,0,0,383400,166700.0,1811.0,776.0,0,0,160,0,0,415288.0,173325.0,,,10,0
673,27005700-01,2008,-1.78952451,1.305633174,0.617142857,0.38405585700000006,2,4,0,7,0,1,0,0,0,0,1,6,4,2,1,Meadow Lake,Mississippi River - Twin Cities,-93.38771952,45.06125669,13,14,2.923076923,2.714285714,F,Meadow Lake-1,693,0.404616498,1.293094129,0,0,212000,43000.0,0.0,0.0,0,0,643,0,0,118500.0,115750.0,2616.0,656.0,24,0
624,27002802-01,2009,-2.2219346509999998,0.31289468800000003,0.5642857139999999,0.149908397,0,0,0,14,0,0,1,0,0,0,1,10,3,0,0,Cornelia Lake,Lower Minnesota River,-93.33952406,44.88277422,14,14,4.0,2.142857143,D,Cornelia Lake-1,621,0.642834139,2.078701445,0,0,439300,215700.0,1755.0,710.0,0,0,516,0,0,289500.0,272600.0,6105.0,2749.0,16,0
975,70007400-01,2010,-1.9670706980000001,0.584093191,0.65,0.070710678,5,3,0,0,0,0,0,1,0,0,1,7,0,0,0,Dean Lake,Lower Minnesota River,-93.44465,44.77409896,8,8,1.375,1.875,C,Dean Lake-1,641,1.349563183,8.598152225,0,0,253400,176600.0,1046.0,720.0,2,0,449,0,0,283036.5,114212.0,,,40,0
677,27005800-01,2010,-3.1207962289999998,0.325027334,1.87,0.990005612,2,8,0,0,0,0,0,0,1,0,0,7,3,0,0,Ryan Lake,Mississippi River - Twin Cities,-93.32132645,45.04016361,10,10,1.8,2.3,B,Ryan Lake-1,638,0.370483871,1.187742496,0,0,185000,72800.0,1040.0,1288.0,0,0,522,0,0,149900.0,101100.0,2582.0,1096.0,18,0
1500,82011602-01,2008,-3.1261143989999995,0.639354679,1.142857143,0.19023794600000002,0,0,0,0,0,0,0,1,0,0,1,2,3,1,0,Armstrong Lake,Mississippi River - Twin Cities,-92.93917709,44.96252306,0,7,,2.5714285709999998,C,Armstrong Lake-1,161,1.601360544,5.3078928869999995,0,0,425600,107150.0,0.0,0.0,0,161,0,0,0,400924.0,105500.0,425600.0,107150.0,0,0
1366,82009002-01,2013,-2.6970996410000003,0.225794208,0.8961538459999999,0.251877565,0,1,4,8,0,0,0,1,0,0,0,2,8,3,0,Wilmes Lake,Mississippi River - Twin Cities,-92.91260488,44.92794439,13,13,3.5384615389999996,3.076923077,C,Wilmes Lake-1,602,0.564,1.685002093,0,0,286500,69425.0,2260.0,603.0,0,0,560,582,0,245674.5,154250.0,,,0,0
1574,82013200-01,2013,-3.4847622080000002,0.224630319,3.221666667,0.725055902,0,6,5,1,0,0,0,0,0,1,0,8,4,0,0,Woodpile Lake,Lower St. Croix River,-92.90332792,45.06868739,12,12,2.583333333,2.333333333,A,Woodpile Lake-1,26,10.37230769,8.730951063,0,0,405400,180850.0,1547.0,1004.25,2,0,24,20,2,30132.0,207927.25,,,0,0
1296,82006700-01,2014,-3.297316004,0.188672179,1.5875,0.27363296600000003,3,6,3,0,0,0,0,1,0,0,0,10,2,0,0,Sand Lake,Lower St. Croix River,-92.80407220000001,45.22818996,12,12,2.0,2.166666667,C,Sand Lake-1,98,3.66877551,4.460933115,0,0,307100,339550.0,1346.0,1940.0,2,0,82,66,0,332000.0,261500.0,,,0,0
1505,82011602-01,2013,-2.9952623660000004,0.544243004,0.08,,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,Armstrong Lake,Mississippi River - Twin Cities,-92.93917709,44.96252306,0,6,,2.666666667,F,Armstrong Lake-1,164,0.909146342,3.231424386,0,0,329000,94400.0,1974.5,2532.0,0,0,110,110,0,372985.0,134335.75,,,0,0
575,19034900-01,2006,-2.554030997,0.460869101,1.371666667,0.760431895,0,2,1,3,0,0,0,0,0,0,0,1,1,3,0,East Lake,Mississippi River - Lake Pepin,-93.17217740000001,44.70651847,6,5,3.166666667,3.4,F,East Lake-1,673,0.797077922,3.50287512,0,0,170800,159850.0,1462.0,1540.0,0,1,284,338,0,181274.0,18507.5,1659.0,213.0,38,0
1639,82015300-01,2012,-3.73605781,0.39367954,3.1642857139999996,0.165111795,2,1,5,0,0,0,0,0,0,1,0,7,1,0,0,Sunset Lake,Mississippi River - Twin Cities,-92.94157024,45.13527125,8,8,2.375,2.125,A,Sunset Lake-1,218,2.75146789,4.380938356000001,0,0,249000,220125.0,1344.0,1852.0,2,0,198,158,0,260000.0,193175.0,,,6,0
1223,82004900-01,2005,-3.907618682,0.18586926,4.3325,1.127332573,9,5,0,0,0,0,0,0,0,1,2,12,0,0,0,Big Carnelian Lake,Lower St. Croix River,-92.80741591,45.13305739,14,14,1.357142857,1.857142857,A,Big Carnelian Lake-1,617,2.706666667,25.87418852,0,0,248200,363800.0,0.0,0.0,3,0,617,0,0,103500.0,97000.0,1566.0,2375.0,0,0
1039,82000900-01,2013,-3.894288772,0.479966099,3.075,1.2232859729999999,4,3,1,0,0,0,0,0,0,1,3,3,2,0,0,Cloverdale Lake,Lower St. Croix River,-92.8523515,45.02040173,8,8,1.625,1.875,A,Cloverdale Lake-1,90,3.88,1.3372972909999998,0,0,520700,336375.0,2961.0,1375.0,0,0,76,78,2,209000.0,340000.0,,,0,0
1092,82001800-01,2007,-3.6617214889999996,0.7072229459999999,1.1974285709999999,0.16314089699999998,4,2,1,0,0,0,0,1,0,0,1,6,0,0,0,North Twin Lake,Lower St. Croix River,-92.84712498,45.08458142,7,7,1.571428571,1.857142857,C,North Twin Lake-1,59,,,0,0,425900,89200.0,0.0,0.0,0,58,0,0,0,214500.0,149000.0,,,0,0
1222,82004900-01,2004,-3.840360794,0.39477000799999995,3.7338571430000003,0.880005757,2,11,1,0,0,0,0,0,0,1,1,9,2,1,0,Big Carnelian Lake,Lower St. Croix River,-92.80741591,45.13305739,14,13,1.928571429,2.230769231,A,Big Carnelian Lake-1,621,2.689617834,25.79226749,0,0,227800,330050.0,0.0,0.0,3,0,621,0,0,107440.0,92100.0,1114.0,2016.0,0,0
255,10008800-01,2012,-2.581479913,0.538072818,1.339285714,0.34204058,0,6,7,1,0,0,0,1,0,0,0,4,7,3,0,Hydes Lake,Lower Minnesota River,-93.87281084,44.81445097,14,14,2.642857143,2.928571429,C,Hydes Lake-1,52,10.76730769,16.36022797,0,0,381000,134025.0,1816.0,1390.0,6,0,41,0,0,297500.0,275000.0,3848.0,1996.5,0,0
821,27062700-01,2012,-1.6352291769999998,0.492095709,0.7454545459999999,0.225227158,0,0,0,3,8,0,1,0,0,0,5,3,3,0,0,Northwood Lake,Mississippi River - Twin Cities,-93.39171496,45.02556284,11,11,4.727272727,1.8181818180000002,D,Northwood Lake-1,1037,0.36008678899999996,1.356125917,0,0,181000,41000.0,1184.0,322.0,0,0,955,0,0,142500.0,126825.0,2898.0,768.0,28,0
714,27008902-01,2009,-4.123322621,0.446703735,3.695833333,0.818107109,11,0,0,0,0,0,0,0,0,1,8,2,0,0,0,Shady Oak Lake,Lower Minnesota River,-93.43243158,44.90832512,11,10,1.0,1.2,A,Shady Oak Lake-1,610,0.595559211,1.416139501,0,0,199950,189525.0,0.0,1528.5,0,0,532,0,0,134900.0,123000.0,2689.0,2580.0,6,0
560,19019800-01,2012,-2.242740184,0.311538775,0.5642857139999999,0.108181776,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,Scout Lake,Lower Minnesota River,-93.21534043,44.773007,0,2,,2.0,D,Scout Lake-1,387,0.517131783,1.3549251130000002,0,0,280300,242100.0,2604.0,2294.0,0,0,327,347,0,222000.0,215500.0,4092.0,3428.0,8,0
301,10021700-01,2013,-1.921230171,0.45495037,0.7230769229999999,0.330791591,0,0,2,11,0,0,1,0,0,0,0,1,2,9,1,Jonathan Lake,Lower Minnesota River,-93.60631618,44.83232288,13,13,3.8461538460000004,3.769230769,D,Jonathan Lake-1,392,1.0844354840000001,3.8999971560000004,0,0,131700,143500.0,1038.0,1749.0,0,0,197,0,2,169990.0,108321.0,1474.0,1754.0,6,0
695,27007300-01,2013,-3.164105096,0.391128641,2.17,0.512184863,0,0,0,10,0,0,0,0,1,0,0,1,5,4,0,Smetana Lake,Lower Minnesota River,-93.41397049,44.86276626,10,10,4.0,3.3,B,Smetana Lake-1,330,3.548170732,2.9247463110000003,0,0,123100,88225.0,0.0,0.0,0,0,272,0,0,2052676.5,21108236.0,1471.0,1351.0,0,0
525,19008000-01,2011,-3.13738233,0.35454900799999994,1.511111111,0.231540733,6,2,1,0,0,0,0,0,1,0,6,3,0,0,0,Rogers Lake,Mississippi River - Twin Cities,-93.13915635,44.87116478,9,9,1.4444444440000002,1.333333333,B,Rogers Lake-1,291,1.910687285,4.516611128,0,0,267600,172800.0,2136.0,2788.0,0,0,213,0,0,284500.0,196000.0,2654.0,1212.0,4,0
674,27005700-01,2011,-1.508311463,0.6486476210000001,0.435384615,0.263205097,2,6,0,4,0,1,0,0,0,0,0,6,4,3,0,Meadow Lake,Mississippi River - Twin Cities,-93.38771952,45.06125669,12,13,2.5,2.769230769,F,Meadow Lake-1,693,0.404616498,1.29309099,0,0,176000,34000.0,1091.0,236.0,0,0,635,0,0,125000.0,107000.0,2694.0,635.0,16,0
1516,82011900-01,2010,-3.3572473960000004,0.23381947399999997,1.35,0.222036033,0,0,2,5,0,0,0,0,1,0,0,6,1,0,0,Weber Pond,Lower St. Croix River,-92.97036833,45.03515397,7,7,3.714285714,2.142857143,B,Weber Pond-1,146,1.473424658,4.032775794,0,0,341800,192450.0,2104.0,817.5,0,0,104,114,0,224442.0,132925.0,,,4,0
405,19002400-01,2007,-2.981512594,0.636640099,1.8169230769999998,1.1134734290000001,0,0,0,13,0,0,0,1,0,0,0,3,2,7,1,Wood Lake,Lower Minnesota River,-93.26586040000001,44.74111827,13,13,4.0,3.461538462,C,Wood Lake-1,763,0.30126984100000004,1.110506824,0,0,175400,51100.0,1460.0,364.0,0,4,646,725,2,149900.0,83925.0,1761.0,667.0,24,0
814,27062700-01,2005,-2.142986044,0.43421914899999997,1.046153846,0.229548051,0,0,0,9,3,0,0,1,0,0,0,0,2,6,4,Northwood Lake,Mississippi River - Twin Cities,-93.39171496,45.02556284,12,12,4.25,4.166666667,C,Northwood Lake-1,1043,,,0,0,200000,42000.0,0.0,0.0,0,0,997,0,0,115400.0,94200.0,2690.0,655.0,22,0
931,70002600-01,2008,-3.8948618230000003,0.419601624,2.757142857,1.10224546,8,4,2,0,0,0,0,0,1,0,3,6,5,0,0,Lower Prior Lake,Lower Minnesota River,-93.41536363,44.73480944,14,14,1.571428571,2.142857143,B,Lower Prior Lake-1,1264,0.5631091770000001,2.324013899,0,0,282400,301325.0,1238.0,532.5,2,0,1083,0,0,225000.0,173300.0,,,34,0
1582,82013300-01,2010,-3.966052408,0.177587528,2.576923077,0.630018315,11,2,0,0,0,0,0,0,0,1,8,5,0,0,0,Sunnybrook Lake,Lower St. Croix River,-92.91073482,45.05049226,13,13,1.153846154,1.384615385,A,Sunnybrook Lake-1,112,2.7623214289999996,5.629521283,2,2,310550,326175.0,1435.0,1719.0,0,0,108,78,0,216392.0,168000.0,,,0,0
1727,82039900-01,2010,-2.264589294,0.060903949000000006,0.91,0.0,0,0,0,3,0,0,0,0,0,0,0,1,2,0,0,Beutel Pond,Lower St. Croix River,-92.92603756,44.99380613,3,3,4.0,2.666666667,F,Beutel Pond-1,106,2.013207547,4.126177418999999,0,0,208200,164625.0,0.0,1223.0,0,0,40,42,0,232500.0,255700.0,,,0,0
1711,82036500-01,2008,-2.604636669,0.51449113,1.001428571,0.221498295,0,0,1,13,0,0,1,1,0,0,0,2,12,0,0,Capaul Pond,Lower St. Croix River,-92.94207606,45.0380528,14,14,3.928571429,2.857142857,D,Capaul Pond-1,13,11.75769231,12.70190809,0,0,348400,733500.0,0.0,0.0,0,13,0,0,0,200000.0,1295000.0,348400.0,672900.0,0,0
750,27011102-01,2005,-2.082186497,0.840617015,0.735714286,0.42182521,0,9,5,11,1,1,1,0,0,0,0,7,14,4,1,Pike Lake,Mississippi River - Twin Cities,-93.41943368,45.06640871,26,26,3.1538461539999996,2.961538462,F,Pike Lake-1,219,,,0,0,194400,77100.0,0.0,0.0,0,0,181,0,0,130300.0,115400.0,2277.0,1116.0,2,0
1285,82006500-01,2013,-3.3425338589999996,0.271084132,,,0,3,5,4,0,0,0,0,0,0,0,8,4,0,0,Hay Lake,Lower St. Croix River,-92.81398535,45.23381325,12,12,3.083333333,2.333333333,F,Hay Lake-1,68,4.6861764710000005,4.881662926000001,0,0,259800,226000.0,1267.5,1936.0,8,0,56,42,0,245000.0,305000.0,,,0,0
1430,82010400-01,2007,-4.280945657,0.341143252,4.823076923,0.534094009,1,0,0,0,0,0,0,0,0,1,9,0,0,0,0,Jane Lake,Lower St. Croix River,-92.92227254,45.01606807,1,9,1.0,1.0,A,Jane Lake-1,387,,,0,0,356800,194500.0,0.0,0.0,5,379,0,0,0,203800.0,235000.0,,,8,0
5,02000500-01,2005,-1.913823754,0.928383686,0.681666667,0.402759421,0,0,1,9,0,0,1,0,0,0,3,1,1,5,0,George Watch Lake,Mississippi River - Twin Cities,-93.08905468,45.17640481,10,10,3.9,2.8,D,George Watch Lake-1,44,18.96363636,13.24392745,0,0,185050,72500.0,0.0,0.0,0,0,2,0,0,250000.0,0.0,,,0,0
555,19019800-01,2007,-2.46480179,0.34514783600000004,0.675,0.058011935,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Scout Lake,Lower Minnesota River,-93.21534043,44.773007,0,0,,,D,Scout Lake-1,394,0.517131783,1.3549251130000002,0,0,364500,285125.0,2547.5,2259.5,0,0,343,345,8,211000.0,201450.0,4100.0,3396.0,8,0
40,02004200-01,2009,-3.174221628,0.105187862,1.0,0.282842713,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,Coon Lake,Lower St. Croix River,-93.13714784,45.31767312,2,2,3.0,3.5,F,Coon Lake-1,2363,1.010830157,3.098622122,0,0,166300,244100.0,948.0,1280.0,0,0,1290,0,0,163333.0,190000.0,1700.0,2552.5,52,0
1495,82011301-01,2014,-2.635174582,0.8408028540000001,1.435135135,0.902215242,2,10,9,14,2,1,1,1,1,0,0,12,16,8,1,Goose Lake,Lower St. Croix River,-92.91197724,44.96377696,37,37,3.108108108,2.945945946,F,Goose Lake-2,78,2.267948718,2.8629583999999997,0,0,463700,851300.0,2324.0,3061.0,0,0,32,44,0,260000.0,117750.0,,,0,0
1426,82010300-01,2014,-4.122349133999999,0.426905187,3.3181818180000002,0.986730137,10,1,0,0,0,0,0,0,0,1,7,2,1,1,0,Olson Lake,Lower St. Croix River,-92.94542621,45.01857051,11,11,1.0909090909999999,1.636363636,A,Olson Lake-1,452,0.759022222,0.608782731,0,0,295100,131500.0,1604.5,989.0,0,0,378,358,0,223750.0,171225.0,,,0,0
1436,82010400-01,2013,-4.86691245,0.646902957,4.6625,0.679920339,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,Jane Lake,Lower St. Croix River,-92.92227254,45.01606807,3,4,1.0,1.0,F,Jane Lake-1,382,1.336020942,1.7519836169999998,0,0,301000,164400.0,1504.0,686.0,4,0,334,318,0,256750.0,245025.0,,,0,0
1307,82007600-01,2005,,,1.240857143,0.425956347,0,0,2,5,0,0,0,0,0,0,0,2,2,3,0,Barker Lake,Lower St. Croix River,-92.89930946,45.18460321,7,7,3.714285714,3.142857143,F,Barker Lake-1,8,85.035,11.62268041,0,0,879900,349625.0,0.0,0.0,6,0,8,0,0,,,495.0,1868.5,0,0
37,02003400-01,2005,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Martin Lake,Lower St. Croix River,-93.0833978,45.38581642,0,0,,,D,Martin Lake-1,921,0.722078346,1.612061405,0,0,140900,221600.0,760.0,1168.0,0,0,478,0,0,143000.0,127000.0,,,0,0
1072,82001502-01,2004,-1.993064402,0.267888915,0.544142857,0.17277193899999999,0,4,2,1,0,1,0,0,0,0,0,0,2,4,0,Loon Lake,Lower St. Croix River,-92.83720049,45.1141432,7,6,2.5714285709999998,3.666666667,F,Loon Lake-1,42,11.07863636,12.19957505,0,0,469100,108500.0,0.0,0.0,0,0,42,0,0,162900.0,258500.0,3305.0,1116.0,0,0
824,27063400-01,2006,-2.560653555,0.462410524,1.009090909,0.211917651,0,3,5,3,0,0,0,1,0,0,0,5,6,0,0,Success Lake,Mississippi River - Twin Cities,-93.32400322,45.10348381,11,11,3.0,2.5454545459999998,C,Success Lake-1,749,,,0,0,201800,25200.0,0.0,0.0,0,0,675,0,0,127000.0,113000.0,2445.0,400.0,58,0
